Date,Open,High,Low,Close,Volume
2017-04-28,220.0,330.0,220.0,330.0,53200
2017-05-02,412.0,412.0,392.0,392.0,20544300
2017-05-03,412.0,420.0,390.0,392.0,6543900
2017-05-04,400.0,410.0,388.0,396.0,2643200
2017-05-05,398.0,402.0,390.0,394.0,547900
2017-05-08,394.0,396.0,390.0,390.0,168600
2017-05-09,390.0,394.0,390.0,392.0,135100
2017-05-10,392.0,398.0,392.0,392.0,309600
2017-05-12,392.0,396.0,388.0,392.0,334400
2017-05-15,400.0,490.0,400.0,490.0,1282600
2017-05-16,490.0,610.0,490.0,610.0,1764200
2017-05-17,630.0,760.0,630.0,720.0,3407300
2017-05-18,720.0,740.0,620.0,620.0,1983300
2017-05-19,590.0,590.0,530.0,540.0,752900
2017-05-22,550.0,640.0,540.0,590.0,550400
2017-05-23,590.0,610.0,550.0,585.0,101500
2017-05-24,585.0,610.0,540.0,555.0,92900
2017-05-26,555.0,575.0,555.0,570.0,729400
2017-05-29,575.0,585.0,570.0,585.0,1086000
2017-05-30,605.0,605.0,585.0,590.0,1125500
2017-05-31,590.0,590.0,580.0,590.0,1170900
2017-06-01,590.0,590.0,590.0,590.0,0
2017-06-02,585.0,590.0,565.0,590.0,980100
2017-06-05,590.0,600.0,590.0,595.0,891800
2017-06-06,590.0,595.0,585.0,595.0,547600
2017-06-07,595.0,625.0,595.0,610.0,799500
2017-06-08,610.0,620.0,605.0,615.0,1099700
2017-06-09,615.0,615.0,610.0,615.0,1368500
2017-06-12,615.0,625.0,615.0,625.0,1653800
2017-06-13,625.0,625.0,615.0,620.0,1504600
2017-06-14,620.0,625.0,615.0,625.0,1596400
2017-06-15,625.0,625.0,600.0,615.0,1642300
2017-06-16,620.0,635.0,615.0,625.0,1607500
2017-06-19,615.0,625.0,615.0,625.0,1249200
2017-06-20,620.0,625.0,620.0,625.0,1228500
2017-06-21,620.0,620.0,615.0,615.0,1247000
2017-06-22,620.0,620.0,615.0,615.0,1000500
2017-06-23,615.0,615.0,615.0,615.0,0
2017-06-26,615.0,615.0,615.0,615.0,0
2017-06-27,615.0,615.0,615.0,615.0,0
2017-06-28,615.0,615.0,615.0,615.0,0
2017-06-29,615.0,615.0,615.0,615.0,0
2017-06-30,615.0,615.0,615.0,615.0,0
2017-07-03,615.0,615.0,605.0,605.0,815600
2017-07-04,605.0,605.0,595.0,595.0,885100
2017-07-05,595.0,595.0,590.0,590.0,810800
2017-07-06,595.0,595.0,580.0,595.0,820200
2017-07-07,595.0,595.0,590.0,590.0,846100
2017-07-10,590.0,590.0,590.0,590.0,0
2017-07-11,595.0,605.0,595.0,595.0,816000
2017-07-12,600.0,600.0,590.0,600.0,807600
2017-07-13,600.0,605.0,595.0,600.0,822400
2017-07-14,605.0,605.0,595.0,600.0,832500
2017-07-17,600.0,600.0,595.0,595.0,828200
2017-07-18,595.0,600.0,590.0,595.0,1201200
2017-07-19,595.0,600.0,595.0,600.0,1158600
2017-07-20,600.0,600.0,590.0,595.0,1171500
2017-07-21,595.0,600.0,580.0,580.0,1282600
2017-07-24,585.0,590.0,580.0,580.0,1192300
2017-07-25,585.0,585.0,580.0,585.0,1205100
2017-07-26,585.0,595.0,585.0,590.0,1159600
2017-07-27,595.0,595.0,590.0,595.0,1155100
2017-07-28,600.0,600.0,595.0,595.0,1155500
2017-07-31,600.0,600.0,590.0,595.0,1137900
2017-08-01,595.0,600.0,590.0,590.0,1155900
2017-08-02,590.0,595.0,590.0,590.0,1180100
2017-08-03,590.0,595.0,590.0,590.0,1680200
2017-08-04,590.0,595.0,590.0,590.0,1851700
2017-08-07,590.0,600.0,590.0,595.0,1860500
2017-08-08,600.0,615.0,595.0,610.0,1743400
2017-08-09,610.0,685.0,610.0,660.0,1699300
2017-08-10,660.0,750.0,660.0,745.0,1533700
2017-08-11,745.0,750.0,720.0,730.0,1537000
2017-08-14,735.0,750.0,730.0,750.0,1557500
2017-08-15,755.0,755.0,725.0,730.0,1500100
2017-08-16,735.0,740.0,725.0,735.0,1533400
2017-08-17,735.0,735.0,735.0,735.0,0
2017-08-18,735.0,740.0,730.0,735.0,1431800
2017-08-21,735.0,750.0,735.0,750.0,1345900
2017-08-22,755.0,815.0,690.0,690.0,1707900
2017-08-23,690.0,695.0,690.0,690.0,1413400
2017-08-24,695.0,705.0,695.0,700.0,1389400
2017-08-25,700.0,705.0,700.0,705.0,1463900
2017-08-28,705.0,730.0,705.0,710.0,1400000
2017-08-29,710.0,710.0,705.0,705.0,1415800
2017-08-30,705.0,705.0,700.0,700.0,1453700
2017-08-31,700.0,705.0,695.0,700.0,1382000
2017-09-01,700.0,700.0,700.0,700.0,0
2017-09-04,700.0,710.0,700.0,700.0,1420800
2017-09-05,705.0,705.0,700.0,705.0,2128800
2017-09-06,705.0,720.0,705.0,710.0,15965500
2017-09-07,710.0,750.0,710.0,715.0,726800
2017-09-08,715.0,720.0,710.0,710.0,709200
2017-09-11,710.0,720.0,700.0,715.0,1313700
2017-09-12,715.0,715.0,695.0,705.0,7402600
2017-09-13,705.0,710.0,650.0,710.0,3379700
2017-09-14,710.0,710.0,695.0,710.0,117500
2017-09-15,710.0,710.0,690.0,690.0,10135800
2017-09-18,690.0,715.0,690.0,715.0,3161000
2017-09-19,715.0,720.0,700.0,720.0,101200
2017-09-20,720.0,720.0,705.0,720.0,112300
2017-09-21,720.0,720.0,720.0,720.0,0
2017-09-22,720.0,735.0,720.0,720.0,6071200
2017-09-25,710.0,720.0,670.0,720.0,279700
2017-09-26,710.0,720.0,705.0,720.0,23000
2017-09-27,710.0,720.0,700.0,700.0,27500
2017-09-28,715.0,715.0,715.0,715.0,8700
2017-09-29,715.0,760.0,705.0,760.0,3690700
2017-10-02,755.0,780.0,730.0,765.0,3501700
2017-10-03,765.0,850.0,750.0,760.0,11539300
2017-10-04,755.0,755.0,745.0,755.0,33000
2017-10-05,750.0,755.0,740.0,750.0,221200
2017-10-06,755.0,755.0,740.0,745.0,433400
2017-10-09,740.0,750.0,640.0,750.0,8880400
2017-10-10,750.0,750.0,730.0,735.0,130800
2017-10-11,735.0,750.0,725.0,750.0,607300
2017-10-12,750.0,750.0,740.0,745.0,7235400
2017-10-13,745.0,755.0,735.0,750.0,178400
2017-10-16,750.0,750.0,730.0,745.0,2474000
2017-10-17,745.0,750.0,740.0,750.0,26296200
2017-10-18,750.0,750.0,745.0,750.0,3308900
2017-10-19,750.0,750.0,740.0,750.0,23128200
2017-10-20,750.0,750.0,740.0,750.0,8602000
2017-10-23,750.0,750.0,725.0,750.0,10769800
2017-10-24,750.0,750.0,720.0,740.0,40925900
2017-10-25,740.0,755.0,735.0,755.0,1840700
2017-10-26,755.0,760.0,745.0,760.0,21609600
2017-10-27,760.0,765.0,755.0,765.0,10278200
2017-10-30,765.0,770.0,760.0,770.0,2257600
2017-10-31,770.0,770.0,765.0,770.0,24070900
2017-11-01,770.0,770.0,750.0,760.0,22742900
2017-11-02,755.0,760.0,725.0,735.0,7358900
2017-11-03,730.0,745.0,725.0,735.0,10682400
2017-11-06,730.0,740.0,720.0,735.0,32837400
2017-11-07,735.0,750.0,735.0,745.0,2997300
2017-11-08,745.0,760.0,740.0,760.0,21978900
2017-11-09,760.0,760.0,750.0,760.0,7369100
2017-11-10,760.0,775.0,755.0,775.0,1801100
2017-11-13,775.0,780.0,765.0,780.0,27525400
2017-11-14,780.0,780.0,765.0,775.0,23046800
2017-11-15,775.0,775.0,760.0,765.0,11602100
2017-11-16,760.0,770.0,745.0,765.0,29562500
2017-11-17,755.0,770.0,750.0,760.0,517200
2017-11-20,760.0,760.0,740.0,760.0,19622300
